SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Numeric_Rating,Feedback_Text,Sentiment_Score,Sentiment_Type
4,7,20,The teachers approach to teaching can best be described as,0,2,3,1,1,3.14 / 62.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.14,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,4,3,4.43 / 88.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,4.43,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,7,20,Was your performance in assignments discussed with you?,1,0,4,0,2,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.29,"The college is okay with Was your performance in assignments discussed with you?, but needs improvement.",0.5,Positive
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.86,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.43,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.71,"The college is okay with The institution provides multiple opportunities to learn and grow., but needs improvement.",0.25,Positive
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.43,"The college is okay with Teachers inform you about your expected competencies, course outcomes and program
outcomes., but needs improvement.",0.2,Positive
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.86,"The college is okay with Your mentor does a necessary follow-up with an assigned task to you., but needs improvement.",0.25,Positive
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,4.14,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.86,Unsatisfied with The teachers identify your strengths and encourage you to provide the proper level of challenges.. Action needed immediately.,0.05,Neutral
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.43,Unsatisfied with Teachers are able to identify your weaknesses and help you to overcome them.. Action needed immediately.,0.3,Positive
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.71,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.71,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.57,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.57,"The college is okay with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work., but needs improvement.",0.26666666666666666,Positive
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.57,"Unsatisfied with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Action needed immediately.",0.05,Neutral
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.71,"The college is okay with The overall quality of the teaching-learning process in your institute is very good., but needs improvement.",0.47,Positive
1,4,24,How much of the syllabus was covered in the class?,0,0,1,1,2,4.25 / 85.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.25,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,4,24,How well did the teachers prepare for the classes?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,4,24,How well were the teachers able to communicate?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,"The college is okay with How well were the teachers able to communicate?, but needs improvement.",0.5,Positive
4,4,24,The teachers approach to teaching can best be described as,0,2,0,2,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.0,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,4,24,Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,"The college is okay with Fairness of the internal evaluation process by the teachers., but needs improvement.",0.25,Positive
6,4,24,Was your performance in assignments discussed with you?,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,4,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.5,"Unsatisfied with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Action needed immediately.",-0.016666666666666663,Neutral
8,4,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.75,"Unsatisfied with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Action needed immediately.",0.044444444444444446,Neutral
9,4,24,The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,3.50 / 70.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.5,"The college is okay with The institution provides multiple opportunities to learn and grow., but needs improvement.",0.25,Positive
10,4,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.0,"The college is okay with Teachers inform you about your expected competencies, course outcomes and program
outcomes., but needs improvement.",0.2,Positive
11,4,24,Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.75,Unsatisfied with Your mentor does a necessary follow-up with an assigned task to you.. Action needed immediately.,0.05,Neutral
12,4,24,The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,4,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.5,Unsatisfied with The teachers identify your strengths and encourage you to provide the proper level of challenges.. Action needed immediately.,0.05,Neutral
14,4,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,"The college is okay with Teachers are able to identify your weaknesses and help you to overcome them., but needs improvement.",0.5,Positive
15,4,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,4,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,4,24,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,4,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,"The college is okay with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work., but needs improvement.",0.26666666666666666,Positive
19,4,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,4.50 / 90.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.5,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,4,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,"The college is okay with The overall quality of the teaching-learning process in your institute is very good., but needs improvement.",0.47,Positive
1,2,42,How much of the syllabus was covered in the class?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,2,42,How well did the teachers prepare for the classes?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,2,42,How well were the teachers able to communicate?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,2,42,The teachers approach to teaching can best be described as,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,2,42,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,2,42,Was your performance in assignments discussed with you?,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,2,42,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,"Excellent work on The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Very satisfied.",0.5055555555555555,Positive
8,2,42,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,"Excellent work on The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Very satisfied.",0.4208333333333334,Positive
9,2,42,The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,3.5,"The college is okay with The institution provides multiple opportunities to learn and grow., but needs improvement.",0.25,Positive
10,2,42,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,2,42,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,2,42,The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,2,42,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,2,42,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,2,42,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,2,42,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,2,42,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,2,42,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,2,42,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,3.5,"The college is okay with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?, but needs improvement.",0.25,Positive
20,2,42,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,3,20,How much of the syllabus was covered in the class?,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,3,20,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.67,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,3,20,How well were the teachers able to communicate?,0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.33,"The college is okay with How well were the teachers able to communicate?, but needs improvement.",0.5,Positive
4,3,20,The teachers approach to teaching can best be described as,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,3,20,Fairness of the internal evaluation process by the teachers.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.67,"The college is okay with Fairness of the internal evaluation process by the teachers., but needs improvement.",0.25,Positive
6,3,20,Was your performance in assignments discussed with you?,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,Unsatisfied with Was your performance in assignments discussed with you?. Action needed immediately.,0.1,Neutral
7,3,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,"Unsatisfied with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Action needed immediately.",-0.016666666666666663,Neutral
8,3,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.33,"Unsatisfied with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Action needed immediately.",0.044444444444444446,Neutral
9,3,20,The institution provides multiple opportunities to learn and grow.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,Unsatisfied with The institution provides multiple opportunities to learn and grow.. Action needed immediately.,0.05,Neutral
10,3,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.33,"The college is okay with Teachers inform you about your expected competencies, course outcomes and program
outcomes., but needs improvement.",0.2,Positive
11,3,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.33,Unsatisfied with Your mentor does a necessary follow-up with an assigned task to you.. Action needed immediately.,0.05,Neutral
12,3,20,The teachers illustrate the concepts through examples and applications.,1,2,0,0,0,1.67 / 33.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.67,Unsatisfied with The teachers illustrate the concepts through examples and applications.. Action needed immediately.,0.1,Neutral
13,3,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.33,Unsatisfied with The teachers identify your strengths and encourage you to provide the proper level of challenges.. Action needed immediately.,0.05,Neutral
14,3,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,Unsatisfied with Teachers are able to identify your weaknesses and help you to overcome them.. Action needed immediately.,0.3,Positive
15,3,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,"Unsatisfied with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Action needed immediately.",0.1,Neutral
16,3,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.67,"Unsatisfied with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Action needed immediately.",0.05,Neutral
17,3,20,Teachers encourage you to participate in extracurricular activities.,0,0,3,0,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,3,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,"The college is okay with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work., but needs improvement.",0.26666666666666666,Positive
19,3,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.67,"The college is okay with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?, but needs improvement.",0.25,Positive
20,3,20,The overall quality of the teaching-learning process in your institute is very good.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.33,Unsatisfied with The overall quality of the teaching-learning process in your institute is very good.. Action needed immediately.,0.33666666666666667,Positive
1,1,21,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,1,21,How well did the teachers prepare for the classes?,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,1,21,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,1,21,The teachers approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,1,21,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,1,21,Was your performance in assignments discussed with you?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,1,21,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,"Excellent work on The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Very satisfied.",0.5055555555555555,Positive
8,1,21,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,"Excellent work on The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.. Very satisfied.",0.4208333333333334,Positive
9,1,21,The institution provides multiple opportunities to learn and grow.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,1,21,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,1,21,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,1,21,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,1,21,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,1,21,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,1,21,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,1,21,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,1,21,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,1,21,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
